fips_code,unemployment_rate,year,median_household_income_2022
06019,10.3,2000,68693.0
06021,8.4,2000,63247.0
06023,5.7,2000,57660.0
06025,17.3,2000,55523.0
06027,4.6000000000000005,2000,64332.0
06029,8.200000000000001,2000,65981.0
06031,9.9,2000,63683.0
06033,7.2,2000,51848.0
06035,7.1000000000000005,2000,60308.0
06037,5.4,2000,82455.0
06039,8.6,2000,71273.0
06041,2.8000000000000003,2000,135960.0
06043,6.1000000000000005,2000,66513.0
06045,5.5,2000,63621.0
06047,9.5,2000,65253.0
06049,7.4,2000,51166.0
06051,4.6000000000000005,2000,79105.0
06053,7.300000000000001,2000,91450.0
06055,3.6,2000,98580.0
06057,4.1000000000000005,2000,80069.0
06059,3.5,2000,106047.0
06061,3.6,2000,106114.0
06063,7.0,2000,66725.0
06065,5.300000000000001,2000,86350.0
06067,4.3,2000,83985.0
06069,5.9,2000,106560.0
06071,4.7,2000,78779.0
06073,3.9,2000,98365.0
06075,3.4000000000000004,2000,135366.0
06077,6.9,2000,84738.0
06079,4.0,2000,88578.0
06081,2.8000000000000003,2000,143795.0
06083,4.3,2000,89334.0
06085,3.1,2000,150502.0
06087,5.1000000000000005,2000,99256.0
06089,6.0,2000,66312.0
06091,5.800000000000001,2000,63939.0
06093,7.4,2000,51593.0
06095,4.6000000000000005,2000,92711.0
06097,3.3000000000000003,2000,96312.0
06099,7.7,2000,75249.0
06101,9.3,2000,66071.0
06103,6.4,2000,58900.0
06105,9.7,2000,49485.0
06107,10.3,2000,64313.0
06109,5.800000000000001,2000,70108.0
06111,4.5,2000,101981.0
06113,5.0,2000,82359.0
06115,7.9,2000,63626.0
08001,2.7,2000,89849.0
08003,3.6,2000,53942.0
08005,2.4000000000000004,2000,93525.0
08007,3.2,2000,66025.0
08009,2.9000000000000004,2000,47147.0
08011,3.9,2000,42958.0
08013,2.4000000000000004,2000,96584.0
08014,2.4000000000000004,2000,114746.0
08015,3.3000000000000003,2000,75151.0
08017,2.5,2000,62891.0
08019,2.7,2000,90350.0
08021,5.0,2000,49141.0
08023,7.4,2000,36970.0
08025,5.300000000000001,2000,49785.0
08027,3.4000000000000004,2000,67766.0
08029,3.7,2000,53910.0
08031,3.0,2000,87619.0
08033,5.5,2000,56695.0
08035,2.0,2000,140768.0
08037,2.4000000000000004,2000,105813.0
08039,2.2,2000,120394.0
08041,2.9000000000000004,2000,82248.0
08043,3.9,2000,57275.0
08045,2.7,2000,86566.0
08047,2.5,2000,89805.0
08049,2.5,2000,88059.0
08051,2.7,2000,88855.0
08053,2.0,2000,70675.0
08055,5.5,2000,47968.0
08057,2.8000000000000003,2000,62439.0
08059,2.3000000000000003,2000,102413.0
08061,3.1,2000,55573.0
08063,2.5,2000,56720.0
08065,3.3000000000000003,2000,71326.0
08067,2.9000000000000004,2000,79358.0
08069,2.5,2000,88338.0
08071,4.1000000000000005,2000,49097.0
08073,2.7,2000,54345.0
08075,2.8000000000000003,2000,58976.0
08077,3.3000000000000003,2000,69578.0
08079,3.6,2000,69794.0
08081,3.5,2000,69088.0
08083,4.1000000000000005,2000,58345.0
08085,3.6,2000,65736.0
08087,3.0,2000,65599.0
08089,4.3,2000,46607.0
08091,2.6,2000,90837.0
08093,2.5,2000,88020.0
08095,2.6,2000,68571.0
08097,2.7,2000,111291.0
08099,2.9000000000000004,2000,48832.0
08101,3.9,2000,58314.0
08103,2.9000000000000004,2000,71630.0
08105,4.5,2000,56877.0
08107,2.5,2000,104407.0
08109,5.5,2000,45048.0
08111,4.5,2000,62732.0
08113,3.0,2000,94387.0
08115,2.6,2000,46980.0
08117,2.2,2000,96984.0
08119,2.9000000000000004,2000,81466.0
08121,2.5,2000,61492.0
08123,2.7,2000,90770.0
08125,2.6,2000,56075.0
09001,1.9,2000,
09003,2.3000000000000003,2000,
09005,1.8,2000,
09007,1.9,2000,
09009,2.3000000000000003,2000,
09011,2.1,2000,
09013,1.7000000000000002,2000,
09015,2.3000000000000003,2000,
10001,3.9,2000,71866.0
10003,3.5,2000,85427.0
10005,3.7,2000,81188.0
11001,5.7,2000,99897.0
12001,3.0,2000,58783.0
12003,3.0,2000,67375.0
12005,4.7,2000,65521.0
12007,3.8,2000,57664.0
12009,3.7,2000,74899.0
12011,3.7,2000,70834.0
12013,4.800000000000001,2000,46766.0
12015,3.7,2000,65040.0
12017,4.7,2000,52534.0
12019,3.1,2000,84364.0
12021,3.8,2000,81821.0
12023,4.0,2000,54060.0
12027,4.5,2000,47097.0
12029,4.5,2000,40587.0
12031,3.4000000000000004,2000,70203.0
12033,4.1000000000000005,2000,61634.0
12035,3.6,2000,73336.0
12037,4.0,2000,52180.0
12039,4.0,2000,45628.0
12041,3.6,2000,58178.0
12043,4.800000000000001,2000,50559.0
12045,6.1000000000000005,2000,55909.0
12047,5.4,2000,45484.0
12049,6.0,2000,48572.0
