county_name,year,population,fips_code
".Escambia County, Alabama",2021,36628.0,
".Escambia County, Alabama",2022,36620.0,
".Escambia County, Alabama",2023,36582.0,
".Escambia County, Alabama",2024,36630.0,
".Etowah County, Alabama",2020,103437.0,
".Etowah County, Alabama",2021,102887.0,
".Etowah County, Alabama",2022,102821.0,
".Etowah County, Alabama",2023,103174.0,
".Etowah County, Alabama",2024,103207.0,
".Fayette County, Alabama",2020,16329.0,
".Fayette County, Alabama",2021,16119.0,
".Fayette County, Alabama",2022,16041.0,
".Fayette County, Alabama",2023,15913.0,
".Fayette County, Alabama",2024,15863.0,
".Franklin County, Alabama",2020,32076.0,
".Franklin County, Alabama",2021,31991.0,
".Franklin County, Alabama",2022,31947.0,
".Franklin County, Alabama",2023,31941.0,
".Franklin County, Alabama",2024,31874.0,
".Geneva County, Alabama",2020,26703.0,
".Geneva County, Alabama",2021,26632.0,
".Geneva County, Alabama",2022,26787.0,
".Geneva County, Alabama",2023,27052.0,
".Geneva County, Alabama",2024,27259.0,
".Greene County, Alabama",2020,7701.0,
".Greene County, Alabama",2021,7583.0,
".Greene County, Alabama",2022,7412.0,
".Greene County, Alabama",2023,7299.0,
".Greene County, Alabama",2024,7127.0,
".Hale County, Alabama",2020,14771.0,
".Hale County, Alabama",2021,14715.0,
".Hale County, Alabama",2022,14613.0,
".Hale County, Alabama",2023,14931.0,
".Hale County, Alabama",2024,15116.0,
".Henry County, Alabama",2020,17171.0,
".Henry County, Alabama",2021,17412.0,
".Henry County, Alabama",2022,17638.0,
".Henry County, Alabama",2023,17872.0,
".Henry County, Alabama",2024,18141.0,
".Houston County, Alabama",2020,107300.0,
".Houston County, Alabama",2021,107412.0,
".Houston County, Alabama",2022,108063.0,
".Houston County, Alabama",2023,108556.0,
".Houston County, Alabama",2024,109366.0,
".Jackson County, Alabama",2020,52532.0,
".Jackson County, Alabama",2021,52688.0,
".Jackson County, Alabama",2022,52842.0,
".Jackson County, Alabama",2023,53423.0,
".Jackson County, Alabama",2024,53780.0,
".Jefferson County, Alabama",2020,674727.0,
".Jefferson County, Alabama",2021,669677.0,
".Jefferson County, Alabama",2022,665543.0,
".Jefferson County, Alabama",2023,664084.0,
".Jefferson County, Alabama",2024,664744.0,
".Lamar County, Alabama",2020,13954.0,
".Lamar County, Alabama",2021,13725.0,
".Lamar County, Alabama",2022,13628.0,
".Lamar County, Alabama",2023,13616.0,
".Lamar County, Alabama",2024,13543.0,
".Lauderdale County, Alabama",2020,94031.0,
".Lauderdale County, Alabama",2021,94846.0,
".Lauderdale County, Alabama",2022,95903.0,
".Lauderdale County, Alabama",2023,96867.0,
".Lauderdale County, Alabama",2024,97502.0,
".Lawrence County, Alabama",2020,33075.0,
".Lawrence County, Alabama",2021,33052.0,
".Lawrence County, Alabama",2022,33182.0,
".Lawrence County, Alabama",2023,33505.0,
".Lawrence County, Alabama",2024,33567.0,
".Lee County, Alabama",2020,174856.0,
".Lee County, Alabama",2021,177652.0,
".Lee County, Alabama",2022,181044.0,
".Lee County, Alabama",2023,184271.0,
".Lee County, Alabama",2024,187847.0,
".Limestone County, Alabama",2020,104209.0,
".Limestone County, Alabama",2021,107285.0,
".Limestone County, Alabama",2022,110926.0,
".Limestone County, Alabama",2023,114803.0,
".Limestone County, Alabama",2024,118942.0,
".Lowndes County, Alabama",2020,10284.0,
".Lowndes County, Alabama",2021,9936.0,
".Lowndes County, Alabama",2022,9778.0,
".Lowndes County, Alabama",2023,9682.0,
".Lowndes County, Alabama",2024,9485.0,
".Macon County, Alabama",2020,19472.0,
".Macon County, Alabama",2021,18917.0,
".Macon County, Alabama",2022,18561.0,
".Macon County, Alabama",2023,18347.0,
".Macon County, Alabama",2024,18159.0,
".Madison County, Alabama",2020,390527.0,
".Madison County, Alabama",2021,396663.0,
".Madison County, Alabama",2022,404155.0,
".Madison County, Alabama",2023,413891.0,
".Madison County, Alabama",2024,423355.0,
".Marengo County, Alabama",2020,19271.0,
".Marengo County, Alabama",2021,18978.0,
".Marengo County, Alabama",2022,18790.0,
".Marengo County, Alabama",2023,18705.0,
".Marengo County, Alabama",2024,18512.0,
".Marion County, Alabama",2020,29175.0,
".Marion County, Alabama",2021,28972.0,
".Marion County, Alabama",2022,29171.0,
".Marion County, Alabama",2023,29279.0,
".Marion County, Alabama",2024,29323.0,
".Marshall County, Alabama",2020,97706.0,
".Marshall County, Alabama",2021,98268.0,
".Marshall County, Alabama",2022,99570.0,
".Marshall County, Alabama",2023,101041.0,
".Marshall County, Alabama",2024,102156.0,
".Mobile County, Alabama",2020,414409.0,
".Mobile County, Alabama",2021,413164.0,
".Mobile County, Alabama",2022,411291.0,
".Mobile County, Alabama",2023,411745.0,
".Mobile County, Alabama",2024,412339.0,
".Monroe County, Alabama",2020,19704.0,
".Monroe County, Alabama",2021,19530.0,
".Monroe County, Alabama",2022,19403.0,
".Monroe County, Alabama",2023,19244.0,
".Monroe County, Alabama",2024,19057.0,
".Montgomery County, Alabama",2020,228363.0,
".Montgomery County, Alabama",2021,226811.0,
".Montgomery County, Alabama",2022,226554.0,
".Montgomery County, Alabama",2023,225966.0,
".Montgomery County, Alabama",2024,225894.0,
".Morgan County, Alabama",2020,123329.0,
".Morgan County, Alabama",2021,123270.0,
".Morgan County, Alabama",2022,124218.0,
".Morgan County, Alabama",2023,125455.0,
".Morgan County, Alabama",2024,126084.0,
".Perry County, Alabama",2020,8456.0,
".Perry County, Alabama",2021,8314.0,
".Perry County, Alabama",2022,7893.0,
".Perry County, Alabama",2023,7772.0,
".Perry County, Alabama",2024,7719.0,
".Pickens County, Alabama",2020,18962.0,
".Pickens County, Alabama",2021,18615.0,
".Pickens County, Alabama",2022,18780.0,
".Pickens County, Alabama",2023,18741.0,
".Pickens County, Alabama",2024,18508.0,
".Pike County, Alabama",2020,32904.0,
".Pike County, Alabama",2021,32748.0,
".Pike County, Alabama",2022,32998.0,
".Pike County, Alabama",2023,33163.0,
".Pike County, Alabama",2024,33124.0,
